#{"t_start": 1780751807.5164056, "env_id": "roundabout-v0"}
r,l,t
27.083333,33,9485.363994
9.625,11,9485.596862
26.666667,33,9486.247154
27.166667,33,9486.863797
5.625,7,9487.00039
5.75,7,9487.147144
27.25,33,9487.763247
2.666667,4,9487.846933
27.958333,33,9488.513578
27.125,33,9489.130111
5.833333,7,9489.280098
27.458333,33,9489.879935
26.833333,33,9490.499971
27.291667,33,9491.128578
27.833333,33,9491.722428
2.75,4,9491.796446
27.333333,33,9492.416658
27.875,33,9493.066337
27.791667,33,9493.679526
28.375,33,9494.279417
9.458333,11,9494.496054
28.041667,33,9495.146004
27.166667,33,9495.745884
5.75,7,9495.895868
27.833333,33,9496.495873
26.666667,33,9497.117934
9.75,11,9497.338759
5.708333,7,9497.479078
26.125,33,9498.095596
27.375,33,9498.733895
26.75,33,9499.361718
5.75,7,9499.512071
27.875,33,9500.12729
27.416667,33,9502.182336
27.5,33,9502.85391
5.791667,7,9503.016403
27.166667,33,9503.681443
26.333333,33,9504.311449
5.791667,7,9504.461426
27.208333,33,9505.064771
26.791667,33,9505.664624
5.708333,7,9505.831408
22.291667,28,9506.368169
27.875,33,9506.969969
27.875,33,9507.54436
26.583333,33,9508.198122
5.75,7,9508.327556
27.291667,33,9508.944199
25.708333,33,9509.610892
27.125,33,9510.227387
27.25,33,9510.844551
9.166667,11,9511.061225
9.583333,11,9511.27904
27.291667,33,9511.87719
2.75,4,9511.977096
27.875,33,9512.585128
27.25,33,9513.192269
11.083333,14,9513.460214
27.958333,33,9514.06364
27.291667,33,9514.680079
27.291667,33,9515.343396
5.791667,7,9515.476707
5.791667,7,9515.629951
5.75,7,9515.776545
5.833333,7,9515.95157
27.875,33,9516.576596
5.791667,7,9516.730123
27.125,33,9517.329735
27.875,33,9517.942964
5.791667,7,9518.092578
27.333333,33,9518.759479
27.416667,33,9519.379494
27.833333,33,9519.979363
26.791667,33,9520.576037
26.666667,33,9521.205444
9.583333,11,9521.425471
27.208333,33,9522.014714
27.875,33,9522.60122
26.541667,33,9523.225617
27.333333,33,9523.844132
2.75,4,9523.929541
27.375,33,9524.542174
26.833333,33,9525.142139
27.791667,33,9525.745249
27.833333,33,9526.361933
26.583333,33,9526.978594
27.25,33,9527.59169
27.375,33,9528.228471
9.666667,11,9528.441565
27.375,33,9529.058179
27.875,33,9529.691382
27.25,33,9530.324665
26.583333,33,9530.928023
5.75,7,9531.058119
26.75,33,9531.674612
26.708333,33,9532.311012
27.875,33,9532.924394
27.208333,33,9533.50768
27.875,33,9534.158647
27.375,33,9534.760592
5.625,7,9534.910598
5.666667,7,9535.062518
27.833333,33,9535.645861
5.833333,7,9535.796774
28.416667,33,9536.427295
27.875,33,9537.074219
5.625,7,9537.225782
9.75,12,9537.473787
27.25,33,9538.093747
10.583333,12,9538.343712
5.791667,7,9538.493696
27.875,33,9539.090276
27.291667,33,9539.708689
27.791667,33,9540.341687
5.75,7,9540.490021
27.875,33,9542.624955
7.541667,9,9542.83976
5.791667,7,9543.008789
27.958333,33,9543.60629
28.333333,33,9544.255091
27.458333,33,9544.872742
27.5,33,9545.485935
27.833333,33,9546.108034
26.75,33,9546.757734
9.916667,12,9547.005865
27.291667,33,9547.622427
28.291667,33,9548.20785
27.916667,33,9548.856591
26.833333,33,9549.505551
5.708333,7,9549.699569
27.916667,33,9550.305459
27.25,33,9550.927525
27.333333,33,9551.521859
5.666667,7,9551.705256
27.458333,33,9552.371826
2.75,4,9552.455185
27.625,33,9553.071695
26.625,33,9553.710843
27.208333,33,9554.341591
27.875,33,9554.954751
27.375,33,9555.570988
26.958333,33,9556.204589
9.916667,12,9556.437912
27.291667,33,9559.157901
28.083333,33,9559.757919
10.833333,13,9560.037044
