#{"t_start": 1781712201.8943045, "env_id": "highway-v0"}
r,l,t
1.517199,4,212.454169
0.589977,2,212.637397
0.610246,2,212.820338
3.713437,7,213.439289
0.0,1,213.537244
4.922519,9,214.369527
3.07562,6,214.903902
1.620977,4,215.255883
0.553234,2,215.437023
2.144429,4,215.805707
0.940628,3,216.087087
0.0,1,216.186916
0.607891,2,216.387017
1.147453,3,216.63684
2.176568,5,217.103552
2.084821,5,217.55353
1.333333,4,217.905299
1.022111,3,218.18661
4.040125,7,218.803265
1.624581,4,219.153265
6.008302,11,220.119794
1.333333,4,220.469829
5.14815,9,221.274855
2.907258,6,221.803093
0.0,1,221.902783
0.0,1,222.002764
4.573756,9,222.786081
3.775192,7,223.402275
1.981472,4,223.752739
0.444444,2,223.936334
5.135111,9,224.719143
0.546448,2,224.918751
1.90922,5,225.352406
0.475289,2,225.571156
1.541147,4,225.947542
1.19202,3,226.221053
5.949253,12,227.236356
2.050981,4,227.585527
6.77153,11,228.550199
1.725226,4,228.885417
0.457519,2,229.068606
0.0,1,229.151968
0.480273,2,229.350098
2.469218,5,229.787521
0.0,1,229.88837
3.853615,8,230.589149
0.0,1,230.698772
0.444444,2,230.885163
1.78251,4,231.251647
3.552828,7,231.851559
3.156824,6,232.387157
1.391474,3,232.651515
4.52183,8,233.351404
3.981968,7,233.946434
0.594835,2,234.118131
3.921536,8,234.817793
3.297076,7,235.442276
0.0,1,235.546252
1.005393,3,235.820051
4.818454,10,236.68426
1.976214,5,237.136128
1.020999,3,237.417619
0.0,1,237.517317
3.548614,6,238.036966
0.0,1,238.134979
1.308763,3,238.400705
2.490966,6,238.917278
4.44321,9,239.71736
0.0,1,239.80325
1.341504,4,240.167234
0.756729,2,240.367136
1.620266,4,240.734735
4.355047,8,241.442527
1.551108,4,241.78362
0.0,1,241.900379
1.417397,4,242.26533
2.858663,5,242.700144
2.805264,6,243.266807
2.855968,6,243.800099
1.388421,4,244.164808
3.97243,7,244.766635
0.572159,2,244.950105
3.729793,7,245.570863
3.444325,6,246.10206
0.444444,2,246.287921
2.368814,5,246.736972
5.321718,8,247.436743
5.606051,11,248.381545
0.0,1,248.481303
1.144348,3,248.749533
0.444444,2,248.946507
1.347124,4,249.31092
0.0,1,249.416108
2.045137,5,249.866002
2.429913,5,250.31599
3.346784,7,250.935793
3.057876,6,251.45498
0.631209,2,251.632352
4.13803,8,252.416372
0.744563,2,252.601267
1.566195,4,252.982154
1.596253,3,253.298846
1.969664,5,253.870455
1.998047,5,254.519424
0.0,1,254.667163
1.244755,3,255.11545
5.481986,10,256.435869
1.01439,3,256.803186
0.72436,2,257.084253
1.173843,3,257.476598
0.0,1,257.614974
2.791057,6,258.381695
0.0,1,258.516192
1.995977,4,259.014767
3.770127,8,260.018309
3.107539,7,260.947923
0.888889,3,261.364414
3.859234,8,262.247702
0.444444,2,262.566262
5.671208,9,263.630854
1.972754,4,264.183529
2.25419,5,264.797385
0.634833,2,265.047365
2.613056,6,265.812582
0.444444,2,266.063845
1.108151,3,266.434749
2.449401,5,267.097089
1.378607,3,267.480422
1.426506,3,267.869262
1.53132,4,268.346972
1.158129,3,268.713624
0.444444,2,268.963665
0.69155,2,269.230112
0.0,1,269.397103
0.725442,2,269.664858
8.142802,15,271.134189
1.165844,3,271.46317
1.961471,5,271.96186
3.477256,7,272.665521
5.255172,11,273.72947
8.101583,15,275.196184
0.0,1,275.312762
1.397381,3,275.645819
1.384043,4,276.062582
1.689923,4,276.48106
3.496405,7,277.161263
1.595907,4,277.562231
2.11369,5,278.08362
6.033739,11,279.162028
0.589187,2,279.394972
1.123946,3,279.706657
1.315571,3,280.030176
1.047283,3,280.345394
3.491729,7,281.043796
2.899693,6,281.645039
1.81651,4,282.028332
10.894106,19,283.928136
0.615147,2,284.145282
2.426318,5,284.713902
3.280067,7,285.511296
1.333333,4,285.94655
0.0,1,286.099126
2.551716,6,286.763705
2.983139,6,287.417179
1.950381,4,287.827663
3.406545,6,288.451281
3.234571,7,289.210372
5.133171,9,290.161011
0.444444,2,290.397985
2.381597,5,290.944082
2.112541,5,291.508089
1.711523,4,291.954644
1.777778,5,292.510548
0.633444,2,292.727103
0.888889,3,293.081488
1.167532,3,293.419443
6.582097,10,294.460015
0.684721,2,294.676744
0.0,1,294.803081
1.946682,5,295.359998
2.116047,5,295.910096
0.602171,2,296.128119
6.503284,12,297.445156
1.786682,4,297.937933
0.910438,3,298.312118
3.529045,7,299.146483
5.38488,12,300.603734
0.52911,2,300.841235
3.966,8,301.723815
1.874132,5,302.412432
2.037624,5,303.028421
1.070132,3,303.442518
1.149617,3,303.792481
2.575039,6,304.476398
1.121572,3,304.82562
1.242144,3,305.158732
1.770345,4,305.669076
1.35407,3,306.058679
5.318883,11,307.208544
0.61342,2,307.479907
4.89014,10,308.688524
2.686755,6,309.341682
3.878735,7,310.16086
0.0,1,310.279705
1.590273,4,310.728583
4.34453,9,311.659445
4.406743,8,312.457771
6.072286,11,313.560045
0.0,1,313.679309
2.939355,6,314.357521
1.902556,4,314.833334
5.474157,11,315.994579
0.699651,2,316.210759
0.888889,3,316.540664
1.931736,4,316.978898
3.828202,8,317.912766
5.447406,11,319.050908
1.327456,3,319.390254
0.444444,2,319.656954
2.746075,5,320.24719
2.010793,5,320.806283
1.672222,4,321.240027
2.617904,6,321.898372
1.333333,4,322.323278
0.929463,3,322.677896
3.858336,8,323.491099
1.868428,4,323.938537
7.545912,13,325.312228
0.0,1,325.439499
3.899128,8,326.305939
5.227252,9,327.3682
0.523215,2,327.639248
1.275193,3,328.044231
0.942356,3,328.508028
2.181357,5,329.242104
0.0,1,329.379842
6.580319,10,330.455527
2.533668,6,331.172057
6.583122,14,332.807633
2.364917,5,333.34101
4.317663,8,334.172233
1.005503,3,334.517116
3.833975,7,335.27392
1.333333,4,335.714441
0.661716,2,335.985378
1.388357,4,336.454671
2.211509,5,337.004713
1.272463,3,337.388045
1.382449,3,337.738057
4.022311,7,338.551875
1.368813,4,339.037685
1.221134,3,339.375698
2.021814,4,339.805715
1.097014,3,340.154215
0.0,1,340.271005
1.397837,4,340.720923
1.746669,4,341.17076
1.333333,4,341.681396
0.670303,2,341.920786
4.910087,9,342.865233
0.0,1,342.987266
1.843431,4,343.453783
0.719798,2,343.687087
0.642372,2,343.903798
1.904107,4,344.373978
1.076086,3,344.804214
1.518467,4,345.240911
0.684872,2,345.489102
1.802357,4,345.920243
2.216427,5,346.503389
1.730244,4,346.91999
2.014889,4,347.353345
1.533176,4,347.786585
5.73672,11,348.919753
5.30612,10,349.952209
1.568518,3,350.273036
0.0,1,350.386214
1.528712,4,350.819387
3.30775,6,351.436106
1.043621,3,351.752748
1.437282,4,352.18555
0.444444,2,352.4022
0.930835,3,352.719348
0.888889,3,353.054867
4.65412,8,353.852451
